BARCODE,ITEM,EXPIRE DATE,ITEM TYPE,BRAND,SALES GROUP,SUPPLIER,COST,SELL PRICE,EFFECTIVE DATE,AVAILABLE,ON HAND
4032900150468,Marvels Menthol 20s,,,Marvels,Retail,Mighty,8.2,8.2,2023-10-30,3200,3150
4032900150468,Marvels Menthol 20s,,,Marvels,Wholesale,Mighty,8.09,8.09,2023-10-30,3250,3200
4032900150475,Marvels Menthol Pk10s,,,Marvels,Wholesale,Mighty,7.97,7.97,2023-10-30,3300,3250
48043717,Fortune Menthol 20s,,,Fortune,Retail,Marlboro,7.86,7.86,2023-10-30,3350,3300
48043717,Fortune Menthol 20s,,,Fortune,Wholesale,Marlboro,1,126,2023-10-30,0,0
4800177024207,Fortune Menthol Pk10s,,,Fortune,Wholesale,Marlboro,1,1260,2023-10-30,0,0
48041812,Mighty Menthol 20s,,,Mighty,Retail,Mighty,1,130,2023-10-30,0,0
48041812,Mighty Menthol 20s,,,Mighty,Wholesale,Mighty,1,126,2023-10-30,0,0
4806501229317,Mighty Menthol Pk10s,,,Mighty,Wholesale,Mighty,1,1260,2023-10-30,0,0
48044226,Chesterfield Remix Cool 20s,,,Chesterfield,Retail,Marlboro,1,110,2023-10-30,0,0
48044226,Chesterfield Remix Cool 20s,,,Chesterfield,Wholesale,Marlboro,1,107,2023-10-30,0,0
4806504612727,Chesterfield Remix Cool Pk10s,,,Chesterfield,Wholesale,Marlboro,1,1070,2023-10-30,0,0
48044172,Chesterfield Menthol 20s,,,Chesterfield,Retail,Marlboro,1,110,2023-10-30,0,0
48044172,Chesterfield Menthol 20s,,,Chesterfield,Wholesale,Marlboro,1,107,2023-10-30,0,0
4806504612550,Chesterfield Menthol Pk10s,,,Chesterfield,Wholesale,Marlboro,1,1070,2023-10-30,0,0
48044165,Chesterfield Original 20s,,,Chesterfield,Wholesale,Marlboro,1,107,2023-10-30,0,0
4806504613151,Chesterfield Original Pk10s,,,Chesterfield,Wholesale,Marlboro,1,1070,2023-10-30,0,0
95509433,Marlboro Black 20s,,,Marlboro,Retail,Marlboro,1,160,2023-10-30,0,0
95509433,Marlboro Black 20s,,,Marlboro,Wholesale,Marlboro,1,155,2023-10-30,0,0
4806504610198,Marlboro Black Pk10s,,,Marlboro,Wholesale,Marlboro,1,1550,2023-10-30,0,0
48042772,Marlboro Ice Blast 20s,,,Marlboro,Retail,Marlboro,1,160,2023-10-30,0,0
4806504616213,Marlboro Ice Blast Pk10s,,,Marlboro,Wholesale,Marlboro,1,1550,2023-10-30,0,0
48042772,Marlboro Ice Blast 20s,,,Marlboro,Wholesale,Marlboro,1,155,2023-10-30,0,0
48044295,Marlboro Red 20s ,,,Marlboro,Retail,Marlboro,1,160,2023-10-30,0,0
48044295,Marlboro Red 20s ,,,Marlboro,Wholesale,Marlboro,1,155,2023-10-30,0,0
4806504613212,Marlboro Red Pk10s,,,Marlboro,Wholesale,Marlboro,1,1550,2023-10-30,0,0
48044301,Marlboro Gold 20s,,,Marlboro,Retail,Marlboro,1,160,2023-10-30,0,0
48044301,Marlboro Gold 20s,,,Marlboro,Wholesale,Marlboro,1,155,2023-10-30,0,0
4806504613311,Marlboro Gold Pk10s,,,Marlboro,Wholesale,Marlboro,1,1550,2023-10-30,0,0
48044394,Marlboro Crafted Ice 20s,,,Marlboro,Retail,Marlboro,1,160,2023-10-30,0,0
48044394,Marlboro Crafted Ice 20s,,,Marlboro,Wholesale,Marlboro,1,155,2023-10-30,0,0
48044318,Marlboro Crafted Red 20s,,,Marlboro,Retail,Marlboro,1,160,2023-10-30,0,0
48044318,Marlboro Crafted Red 20s,,,Marlboro,Wholesale,Marlboro,1,155,2023-10-30,0,0
4800065113112,Safety Matches Pk10s,,,Commando,Wholesale,JY Brothers,1,20,2023-10-30,0,0
4801234134426,Mosquito Coil Lav ,,,Baygon,Retail,New Staple,1,22,2023-10-30,0,0
4800101008884,Mosquito Killer,,,Lion-Tiger,Retail,JY Brothers,1,19,2023-10-30,0,0
6925419077952,Mosquito Coil,,,Wawang,Retail,Naga,1,25,2023-10-30,0,0
6925419077952,Mosquito Coil,,,Wawang,Wholesale,Naga,1,22,2023-10-30,0,0
4806507832481,Papaya Soap 65g,,,Silka,Retail,JT in Tandem,1,20,2023-10-30,0,0
4800011782904,Bar Soap Glow 60g,,,Bioderm,Retail,IPI,1,18,2023-10-30,0,0
4800011113937,Bar Soap Coolness 60g,,,Bioderm,Retail,IPI,1,18,2023-10-30,0,0
4800011795331,Bar Soap Pristine 60g,,,Bioderm,Retail,IPI,1,18,2023-10-30,0,0
4800011782805,Bar Soap Bloom 60g,,,Bioderm,Retail,IPI,1,18,2023-10-30,0,0
4800011782737,Bar Soap Freshen 60g,,,Bioderm,Retail,IPI,1,18,2023-10-30,0,0
4800011783031,Bar Soap Timeless 60g,,,Bioderm,Retail,IPI,1,18,2023-10-30,0,0
4902430951357,Bar Soap FPWA 60g,,,Safeguard,Retail,Onyata,1,21,2023-10-30,0,0
4902430803694,Bar Soap LFVC 60g,,,Safeguard,Retail,Onyata,1,21,2023-10-30,0,0
4902430381772,Bar Soap IWC 60g,,,Safeguard,Retail,Onyata,1,21,2023-10-30,0,0
4902430945554,Bar Soap PW 60g,,,Safeguard,Retail,Onyata,1,21,2023-10-30,0,0
4902430951371,Bar Soap FG 60g,,,Safeguard,Retail,Onyata,1,21,2023-10-30,0,0
4806507832214,Papaya Soap GP 65g,,,Silka,Retail,JT in Tandem,1,20,2023-10-30,0,0
4801010561507,Baby Soap Blossoms 60g,,,Johnson's,Retail,MTC,1,21,2023-10-30,0,0
4801010560432,Baby Soap Reg 60g,,,Johnson's,Retail,MTC,1,21,2023-10-30,0,0
4800047863158,Bar Soap CM 55g,,,Green Cross,Retail,Fornix,1,17,2023-10-30,0,0
4800047865428,Bar Soap CR 55g,,,Green Cross,Retail,Fornix,1,17,2023-10-30,0,0
4806533720615,Papaya Soap 65g,,,Dr. Alvin,Retail,MTC,1,18,2023-10-30,0,0
4806501705002,Det Powder Orig 35g,,,Champion,Retail,MTC,1,6,2023-10-30,0,0
4806501705569,Det Powder SFS 35g,,,Champion,Retail,MTC,1,6,2023-10-30,0,0
4902430831338,Det Powder PF 64g,,,Tide,Retail,Onyata,1,15,2023-10-30,0,0
4902430587907,Det Powder OS 64g,,,Tide,Retail,Onyata,1,15,2023-10-30,0,0
4902430831161,Detergent Powder GB 64g,,,Tide,Retail,Onyata,1,15,2023-10-30,0,0
4902430583169,Det Powder SF 66g,,,Ariel,Retail,Onyata,1,15,2023-10-30,0,0
4902430583183,Det Powder FP 66g,,,Ariel,Retail,Onyata,1,15,2023-10-30,0,0
4987176067029,Det Powder FGB 66g,,,Ariel,Retail,Onyata,1,15,2023-10-30,0,0
4800888183804,Det Powder RF 65g,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888151827,Det Powder Kalamansi 57g,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888218940,Det Powder Antibac 60g,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888189806,Det Powder CB 65g,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888151841,Det Powder SF 65g,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888151834,Det Powder Tawas 57g,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888199133,Det Powder PB 65g,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4806501709307,Det Powder SF 45g,,,Calla,Retail,MTC,1,7,2023-10-30,0,0
4806501709352,Det Powder RG 45g,,,Calla,Retail,MTC,1,7,2023-10-30,0,0
8998866619967,Det Powder Solve SS 60g,,,Wings,Retail,Pentagon,1,7,2023-10-30,0,0
8998866606851,Det Powder Solve FF 60g,,,Wings,Retail,Pentagon,1,7,2023-10-30,0,0
8998866801614,Det Powder Solve CC 60g,,,Wings,Retail,Pentagon,1,7,2023-10-30,0,0
4902430875646,Det Powder Detox 78g,,,Ariel,Retail,Onyata,1,20,2023-10-30,0,0
8998866803564,Det Powder TCare LD 57g,,,Wings,Retail,Pentagon,1,6,2023-10-30,0,0
8998866801928,Det Powder TCare BG 57g,,,Wings,Retail,Pentagon,1,6,2023-10-30,0,0
8998866616058,Det Powder TCare SE 57g,,,Wings,Retail,Pentagon,1,6,2023-10-30,0,0
8998866605076,Det Powder TCare LS 57g,,,Wings,Retail,Pentagon,1,6,2023-10-30,0,0
8998866800808,Det Powder TCare PB 57g,,,Wings,Retail,Pentagon,1,6,2023-10-30,0,0
4800888187840,Det Powder AB 70g,,,Breeze,Retail,Montana,1,14,2023-10-30,0,0
4800888202765,Det Powder RGP 66g,,,Breeze,Retail,Montana,1,14,2023-10-30,0,0
4800888218964,Det Powder Antibac 60g,,,Breeze,Retail,Montana,1,14,2023-10-30,0,0
8934868155584,Lqd Det Antibac 60ml,,,Breeze,Retail,Montana,1,14,2023-10-30,0,0
4800047841040,Fab Soft BF 22ml,,,Del,Retail,Fornix,1,5,2023-10-30,0,0
4800047841088,Fab Soft SF 22ml,,,Del,Retail,Fornix,1,5,2023-10-30,0,0
4800047841378,Fab Soft LB 22ml,,,Del,Retail,Fornix,1,5,2023-10-30,0,0
4800047847356,Fab Soft Gentle 22ml,,,Del,Retail,Fornix,1,6,2023-10-30,0,0
95401393,FabCon Antibac 25ml,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
8934868139362,FabCon CF 25ml,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888208644,FabCon BF 25ml,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
8934868125211,FabCon MB 25ml,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
8934868094982,FabCon FP 25ml,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888209931,FabCon LP 25ml,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
4800888209931,FabCon LP 25ml,,,Surf,Retail,Montana,1,7,2023-10-30,0,0
8934868151135,FabCon BF 3pid 69ml,,,Surf,Retail,Montana,1,14,2023-10-30,0,0
8934868151128,FabCon LP 3pid 69ml,,,Surf,Retail,Montana,1,14,2023-10-30,0,0
4806501708331,Lqd FabCon SB 28ml,,,Calla,Retail,MTC,1,6,2023-10-30,0,0
4806501708348,Lqd FabCon PP 28ml,,,Calla,Retail,MTC,1,6,2023-10-30,0,0
4806501708102,FabriCon PF 28ml,,,Champion,Retail,MTC,1,6,2023-10-30,0,0
4806501708508,FabriCon FD 28ml,,,Champion,Retail,MTC,1,6,2023-10-30,0,0
4806501708300,FabriCon BS 28ml,,,Champion,Retail,MTC,1,6,2023-10-30,0,0
4806501703107,Combo Pck ,,,Champion,Retail,MTC,1,9,2023-10-30,0,0
4806501703909,Combo Pck ,,,Calla,Retail,MTC,1,9,2023-10-30,0,0
4902430846417,Sunrise Fresh 24ml,,,Downy,Retail,Onyata,1,7,2023-10-30,0,0
4902430729925,Mystique 20ml,,,Downy,Retail,Onyata,1,7,2023-10-30,0,0
4902430846424,Antibac 22ml,,,Downy,Retail,Onyata,1,7,2023-10-30,0,0
4902430846752,Passion 20ml,,,Downy,Retail,Onyata,1,7,2023-10-30,0,0
4902430729932,Blissful Blossom 20ml,,,Downy,Retail,Onyata,1,7,2023-10-30,0,0
4902430873703,Kontra Kulob 22ml,,,Downy,Retail,Onyata,1,7,2023-10-30,0,0
4987176078209,French Lavender 20ml,,,Downy,Retail,Onyata,1,7,2023-10-30,0,0
4902430513081,Sunrise Fresh 3pid 66ml,,,Downy,Retail,Onyata,1,15,2023-10-30,0,0
4902430424264,Antibac 3pid 63ml,,,Downy,Retail,Onyata,1,15,2023-10-30,0,0
4902430513074,Garden Bloom 3pid 66ml,,,Downy,Retail,Onyata,1,15,2023-10-30,0,0
4902430513074,GB 3pidx6 66ml,,,Downy,Wholesale,Onyata,1,84,2023-10-30,0,0
4902430424264,Antibac 3pid 63ml,,,Downy,Wholesale,Onyata,1,84,2023-10-30,0,0
4806507832481,Papaya Soap 6x65g,,,Silka,Wholesale,JT in Tandem,1,112.5,2023-10-30,0,0
4800011782904,Bar Soap Glow 6x60g,,,Bioderm,Wholesale,IPI,1,98,2023-10-30,0,0
4800011113937,Bar Soap Coolness 6x60g,,,Bioderm,Wholesale,IPI,1,98,2023-10-30,0,0
4800011795331,Bar Soap Pristine 6x60g,,,Bioderm,Wholesale,IPI,1,98,2023-10-30,0,0
4800011782805,Bar Soap Bloom 6x60g,,,Bioderm,Wholesale,IPI,1,98,2023-10-30,0,0
4800011782737,Bar Soap Freshen 6x60g,,,Bioderm,Wholesale,IPI,1,98,2023-10-30,0,0
4800011783031,Bar Soap Timeless 6x60g,,,Bioderm,Wholesale,IPI,1,98,2023-10-30,0,0
4902430951357,Bar Soap FPWA 6x60g,,,Safeguard,Wholesale,Onyata,1,118.5,2023-10-30,0,0
4902430803694,Bar Soap LFVC 6x60g,,,Safeguard,Wholesale,Onyata,1,118.5,2023-10-30,0,0
4902430381772,Bar Soap IWC 6x60g,,,Safeguard,Wholesale,Onyata,1,118.5,2023-10-30,0,0
4902430945554,Bar Soap PW 6x60g,,,Safeguard,Wholesale,Onyata,1,117,2023-10-30,0,0
4902430951371,Bar Soap FG 6x60g,,,Safeguard,Wholesale,Onyata,1,118.5,2023-10-30,0,0
4806507832214,Papaya Soap 6xGP 65g,,,Silka,Wholesale,JT in Tandem,1,112.5,2023-10-30,0,0
4801010561507,Baby Soap Blossoms 6x60g,,,Johnson's,Wholesale,MTC,1,1,2023-10-30,0,0
4801010560432,Baby Soap Reg 6x60g,,,Johnson's,Wholesale,MTC,1,114,2023-10-30,0,0
4800047863158,Bar Soap CM 6x55g,,,Green Cross,Wholesale,Fornix,1,90,2023-10-30,0,0
4800047865428,Bar Soap CR 6x55g,,,Green Cross,Wholesale,Fornix,1,90,2023-10-30,0,0
4806533720615,Papaya Soap 6x65g,,,Dr. Alvin,Wholesale,MTC,1,156,2023-10-30,0,0
4806501705002,Det Powder Orig 6x35g,,,Champion,Wholesale,MTC,1,32.5,2023-10-30,0,0
4806501705569,Det Powder SFS 6x35g,,,Champion,Wholesale,MTC,1,32.5,2023-10-30,0,0
4902430831338,Det Powder PF 6x64g,,,Tide,Wholesale,Onyata,1,85,2023-10-30,0,0
4902430587907,Det Powder OS 6x64g,,,Tide,Wholesale,Onyata,1,85,2023-10-30,0,0
4902430831161,DetPowder GB 6x64g,,,Tide,Wholesale,Onyata,1,85,2023-10-30,0,0
4902430583169,Det Powder SF 6x66g,,,Ariel,Wholesale,Onyata,1,86,2023-10-30,0,0
4902430583183,Det Powder FP 6x66g,,,Ariel,Wholesale,Onyata,1,86,2023-10-30,0,0
4987176067029,Det Powder FGB 6x66g,,,Ariel,Wholesale,Onyata,1,86,2023-10-30,0,0
4800888183804,Det Powder RF 6x65g,,,Surf,Wholesale,Montana,1,39.5,2023-10-30,0,0
4800888151827,Det Powder Kalamansi 6x57g,,,Surf,Wholesale,Montana,1,39.5,2023-10-30,0,0
4800888218940,Det Powder Antibac 6x60g,,,Surf,Wholesale,Montana,1,39.5,2023-10-30,0,0
4800888189806,Det Powder CB 6x65g,,,Surf,Wholesale,Montana,1,39.5,2023-10-30,0,0
4800888151841,Det Powder SF 6x65g,,,Surf,Wholesale,Montana,1,39.5,2023-10-30,0,0
4800888151834,Det Powder Tawas 6x57g,,,Surf,Wholesale,Montana,1,39.5,2023-10-30,0,0
4800888199133,Det Powder PB 6x65g,,,Surf,Wholesale,Montana,1,39.5,2023-10-30,0,0
4806501709307,Det Powder SF 6x45g,,,Calla,Wholesale,MTC,1,38.5,2023-10-30,0,0
4806501709352,Det Powder RG 6x45g,,,Calla,Wholesale,MTC,1,38.5,2023-10-30,0,0
8998866619967,Det Powder Solve SS 6x60g,,,Wings,Wholesale,Pentagon,1,35,2023-10-30,0,0
8998866606851,Det Powder Solve FF 6x60g,,,Wings,Wholesale,Pentagon,1,35,2023-10-30,0,0
8998866801614,Det Powder Solve CC 6x60g,,,Wings,Wholesale,Pentagon,1,35,2023-10-30,0,0
4902430875646,Det Powder Detox 6x78g,,,Ariel,Wholesale,Onyata,1,112,2023-10-30,0,0
8998866803564,Det Powder TCare LD 6x57g,,,Wings,Wholesale,Pentagon,1,34,2023-10-30,0,0
8998866801928,Det Powder TCare BG 6x57g,,,Wings,Wholesale,Pentagon,1,34,2023-10-30,0,0
8998866616058,Det Powder TCare SE 6x57g,,,Wings,Wholesale,Pentagon,1,34,2023-10-30,0,0
8998866605076,Det Powder TCare LS 6x57g,,,Wings,Wholesale,Pentagon,1,34,2023-10-30,0,0
8998866800808,Det Powder TCare PB 6x57g,,,Wings,Wholesale,Pentagon,1,34,2023-10-30,0,0
4800888187840,Det Powder AB 6x70g,,,Breeze,Wholesale,Montana,1,77,2023-10-30,0,0
4800888202765,Det Powder RGP 6x66g,,,Breeze,Wholesale,Montana,1,77,2023-10-30,0,0
4800888218964,Det Powder Antibac 6x60g,,,Breeze,Wholesale,montana,1,77,2023-10-30,0,0
8934868155584,Lqd Det Antibac 6x60ml,,,Breeze,Wholesale,montana,1,77,2023-10-30,0,0
4800047841040,Fab Soft BF 6x22ml,,,Del,Wholesale,Fornix,1,24,2023-10-30,0,0
4800047841088,Fab Soft SF 6x22ml,,,Del,Wholesale,Fornix,1,24,2023-10-30,0,0
4800047841378,Fab Soft LB 6x22ml,,,Del,Wholesale,Fornix,1,24,2023-10-30,0,0
4800047847356,Fab Soft Gentle 6x22ml,,,Del,Wholesale,Fornix,1,30,2023-10-30,0,0
95401393,FabCon Antibac 6x25ml,,,Surf,Wholesale,Montana,1,33.5,2023-10-30,0,0
8934868139362,FabCon CF 6x25ml,,,Surf,Wholesale,Montana,1,33.5,2023-10-30,0,0
4800888208644,FabCon BF 6x25ml,,,Surf,Wholesale,Montana,1,33.5,2023-10-30,0,0
8934868125211,FabCon MB 6x25ml,,,Surf,Wholesale,Montana,1,33.5,2023-10-30,0,0
8934868094982,FabCon FP 6x25ml,,,Surf,Wholesale,Montana,1,33.5,2023-10-30,0,0
4800888209931,FabCon LP 6x25ml,,,Surf,Wholesale,Montana,1,33.5,2023-10-30,0,0
4800888209931,FabCon LP 6x25ml,,,Surf,Wholesale,Montana,1,33.5,2023-10-30,0,0
8934868151135,FabCon BF 3pid 6x69ml,,,Surf,Wholesale,Montana,1,78,2023-10-30,0,0
8934868151128,FabCon LP 3pid 6x69ml,,,Surf,Wholesale,Montana,1,78,2023-10-30,0,0
4806501708331,Lqd FabCon SB 6x28ml,,,Calla,Wholesale,MTC,1,27,2023-10-30,0,0
4806501708348,Lqd FabCon PP 6x28ml,,,Calla,Wholesale,MTC,1,27,2023-10-30,0,0
4806501708102,FabriCon PF 6x28ml,,,Champion,Wholesale,MTC,1,31,2023-10-30,0,0
4806501708508,FabriCon FD 6x28ml,,,Champion,Wholesale,MTC,1,31,2023-10-30,0,0
4806501708300,FabriCon BS 6x28ml,,,Champion,Wholesale,MTC,1,31,2023-10-30,0,0
4806501703107,Combo Pck 6x,,,Champion,Wholesale,MTC,1,49.5,2023-10-30,0,0
4806501703909,Combo Pck 6x,,,Calla,Wholesale,MTC,1,48,2023-10-30,0,0
4902430846417,Sunrise Fresh 6x24ml,,,Downy,Wholesale,Onyata,1,35,2023-10-30,0,0
4902430729925,Mystique 6x20ml,,,Downy,Wholesale,Onyata,1,35,2023-10-30,0,0
4902430846424,Antibac 6x22ml,,,Downy,Wholesale,Onyata,1,35,2023-10-30,0,0
4902430846752,Passion 6x20ml,,,Downy,Wholesale,Onyata,1,35,2023-10-30,0,0
4902430729932,Blissful Blossom 6x20ml,,,Downy,Wholesale,Onyata,1,35,2023-10-30,0,0
4902430873703,Kontra Kulob 6x22ml,,,Downy,Wholesale,Onyata,1,35,2023-10-30,0,0
4987176078209,French Lavender 6x20ml,,,Downy,Wholesale,Onyata,1,35,2023-10-30,0,0
4902430513081,Sunrise Fresh 3pid 6x66ml,,,Downy,Wholesale,Onyata,1,84,2023-10-30,0,0
4902430424264,Antibac 3pid 6x63ml,,,Downy,Wholesale,Onyata,1,84,2023-10-30,0,0
4902430513074,Garden Bloom 3pid 6x66ml,,,Downy,Wholesale,Onyata,1,84,2023-10-30,0,0
4808888004174,Shampoo AV 15ml,,,Palmolive,Retail,MTC,1,6,2023-10-30,0,0
4808888004167,Shampoo CC 15ml,,,Palmolive,Retail,MTC,1,6,2023-10-30,0,0
8850006493045,Shampoo OO&K 15ml,,,Palmolive,Retail,MTC,1,6,2023-10-30,0,0
4808888004594,Shampoo TTO&C 15ml,,,Palmolive,Retail,MTC,1,7,2023-10-30,0,0
8850006480786,Shampoo AO 15ml,,,Palmolive,Retail,MTC,1,7,2023-10-30,0,0
8850006480755,Shampoo RO 15ml,,,Palmolive,Retail,MTC,1,7,2023-10-30,0,0
